Rank,Country,HDI,,,,,,
140,Liberia,0.412,,,,,,
141,Mali,0.407,,,,,,
142,Guinea-Bissau,0.396,,,,,,
143,Mozambique,0.393,,,,,,
144,Guinea,0.392,,,,,,
145,Burundi,0.389,,,,,,
146,Burkina Faso,0.388,,,,,,
147,Eritrea,0.381,,,,,,
148,Sierra Leone,0.374,,,,,,
149,Chad,0.372,,,,,,
150,Central African Republic,0.341,,,,,,
151,Congo (Democratic Republic of the),0.338,,,,,,
152,Niger,0.337,,,,,,
